"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Chicot County, AR"	"05017"	Suppressed	10636	Suppressed
	"Clark County, AR"	"05019"	Suppressed	22293	Suppressed
	"Clay County, AR"	"05021"	Suppressed	14920	Suppressed
	"Cleburne County, AR"	"05023"	Suppressed	25048	Suppressed
	"Cleveland County, AR"	"05025"	Suppressed	8202	Suppressed
	"Columbia County, AR"	"05027"	Suppressed	23627	Suppressed
	"Conway County, AR"	"05029"	Suppressed	20916	Suppressed
	"Craighead County, AR"	"05031"	Suppressed	107115	Suppressed
	"Crawford County, AR"	"05033"	Suppressed	62996	Suppressed
	"Crittenden County, AR"	"05035"	Suppressed	48750	Suppressed
	"Cross County, AR"	"05037"	Suppressed	16863	Suppressed
	"Dallas County, AR"	"05039"	Suppressed	7393	Suppressed
	"Desha County, AR"	"05041"	Suppressed	11764	Suppressed
	"Drew County, AR"	"05043"	Suppressed	18547	Suppressed
	"Faulkner County, AR"	"05045"	Suppressed	123654	Suppressed
	"Franklin County, AR"	"05047"	Suppressed	17890	Suppressed
	"Fulton County, AR"	"05049"	Suppressed	12055	Suppressed
	"Garland County, AR"	"05051"	11	98658	Unreliable
	"Grant County, AR"	"05053"	Suppressed	18165	Suppressed
	"Greene County, AR"	"05055"	Suppressed	45053	Suppressed
	"Hempstead County, AR"	"05057"	Suppressed	21861	Suppressed
	"Hot Spring County, AR"	"05059"	Suppressed	33574	Suppressed
	"Howard County, AR"	"05061"	Suppressed	13478	Suppressed
	"Independence County, AR"	"05063"	Suppressed	37504	Suppressed
	"Izard County, AR"	"05065"	Suppressed	13686	Suppressed
	"Jackson County, AR"	"05067"	Suppressed	17135	Suppressed
	"Jefferson County, AR"	"05069"	29	69115	41.9591
	"Johnson County, AR"	"05071"	Suppressed	26552	Suppressed
	"Lafayette County, AR"	"05073"	Suppressed	6862	Suppressed
	"Lawrence County, AR"	"05075"	Suppressed	16525	Suppressed
	"Lee County, AR"	"05077"	Suppressed	9176	Suppressed
	"Lincoln County, AR"	"05079"	Suppressed	13646	Suppressed
	"Little River County, AR"	"05081"	Suppressed	12359	Suppressed
	"Logan County, AR"	"05083"	Suppressed	21722	Suppressed
	"Lonoke County, AR"	"05085"	Suppressed	72898	Suppressed
	"Madison County, AR"	"05087"	Suppressed	16339	Suppressed
	"Marion County, AR"	"05089"	Suppressed	16428	Suppressed
	"Miller County, AR"	"05091"	Suppressed	43984	Suppressed
	"Mississippi County, AR"	"05093"	11	42159	Unreliable
	"Monroe County, AR"	"05095"	Suppressed	7085	Suppressed
	"Montgomery County, AR"	"05097"	Suppressed	8919	Suppressed
	"Nevada County, AR"	"05099"	Suppressed	8327	Suppressed
	"Newton County, AR"	"05101"	Suppressed	7828	Suppressed
	"Ouachita County, AR"	"05103"	Suppressed	23868	Suppressed
	"Perry County, AR"	"05105"	Suppressed	10348	Suppressed
	"Phillips County, AR"	"05107"	Suppressed	18572	Suppressed
